Location,Land_Area,Floor_Area,Number_of_Floors,Number_of_Bedrooms,Number_of_Bathrooms,House_Type,Year_Built,Condition,Parking_Availability,Proximity_to_City_Center,Price
Rural,2058.39,1701.56,2,3,2,Apartment,1989,Renovated,0,40.19,1745141.46
Rural,1877.87,1431.07,2,2,1,Apartment,1954,Old,1,52.2,1463484.55
Rural,1946.31,1368.03,2,2,2,Apartment,1994,Renovated,0,47.26,1537414.21
Rural,3401.55,2167.49,1,4,3,Single-Family,1995,Renovated,1,58.69,2591811.51
Suburban,3560.15,2042.46,1,4,3,Apartment,1985,Renovated,0,23.87,2635586.99
Rural,2533.73,1374.75,1,2,1,Single-Family,1966,Old,1,39.11,1827577.98
Rural,4383.08,3890.84,2,7,3,Single-Family,1990,Renovated,1,35.91,3620140.7
Urban,2531.97,1468.19,1,2,1,Single-Family,1979,Renovated,1,6.41,1946364.21
Rural,3792.33,1986.99,1,3,2,Single-Family,2001,Renovated,1,57.33,2630936.97
Suburban,2068.0,1829.49,2,3,1,Apartment,1969,Old,1,29.27,1817027.42
Suburban,4833.76,3478.28,2,6,3,Apartment,1985,Renovated,1,11.62,3719460.62
Suburban,4070.13,3332.06,1,6,3,Multi-Family,2015,Good,1,26.52,3348010.8
Suburban,2372.03,1227.54,2,2,2,Multi-Family,1994,Renovated,1,23.04,1718673.65
Rural,3934.54,2859.54,2,5,2,Single-Family,1953,Old,1,57.47,2980712.26
Rural,3883.98,2560.65,2,5,3,Multi-Family,1999,Renovated,1,34.05,3003479.59
Suburban,4053.04,3278.04,2,6,3,Multi-Family,2004,Renovated,0,13.33,3274131.18
Suburban,18.01,9.28,2,1,1,Multi-Family,2008,Good,0,23.38,254708.46
Rural,3219.35,2126.95,2,4,3,Single-Family,1991,Renovated,0,50.32,2496721.76
Suburban,3042.3,2493.56,2,4,3,Multi-Family,1951,Old,1,11.54,2558713.11
Urban,2971.07,2106.72,1,4,3,Apartment,1995,Renovated,1,9.48,2459738.74
Suburban,2718.35,1957.25,1,3,1,Single-Family,1951,Old,0,19.45,2106536.31
Suburban,2747.81,1480.7,2,2,2,Apartment,1999,Renovated,1,14.65,2040131.13
Urban,3783.14,2091.82,1,4,3,Single-Family,1950,Old,1,9.41,2798362.67
Urban,3039.47,2342.82,1,4,2,Apartment,1962,Old,1,3.82,2560737.69
Rural,2716.91,2092.07,1,4,3,Multi-Family,2019,Good,1,35.07,2219455.11
Rural,3639.38,3245.02,1,6,4,Single-Family,1971,Old,0,32.27,3019952.28
Urban,2918.03,2290.02,2,4,2,Apartment,1966,Old,1,5.97,2510476.26
Urban,3013.57,2101.35,2,4,2,Single-Family,2008,Good,0,7.0,2520351.73
Rural,4367.04,3681.11,1,7,3,Apartment,2019,Good,1,36.39,3574646.16
Suburban,2065.52,1119.08,1,2,2,Multi-Family,1952,Old,0,11.09,1577705.46
Urban,984.29,669.04,3,1,1,Single-Family,2019,Good,0,9.0,923360.72
Rural,2572.36,1581.6,1,3,2,Single-Family,1998,Renovated,1,36.45,1989520.96
Suburban,2714.54,1470.89,1,2,1,Apartment,1999,Renovated,1,21.4,1970456.87
Urban,3221.53,2594.62,2,5,2,Apartment,1984,Renovated,1,8.35,2709986.36
Suburban,2607.32,1836.38,2,3,1,Multi-Family,1972,Old,1,27.42,2000035.24
Rural,3255.12,2352.5,2,4,3,Apartment,2021,New,1,42.69,2507423.17
Urban,5004.62,3325.58,3,6,4,Apartment,1956,Old,0,7.21,3812489.18
Suburban,3301.51,2258.68,1,4,3,Apartment,1999,Renovated,1,15.12,2546924.37
Urban,3477.32,1900.03,2,3,2,Multi-Family,1959,Old,1,2.39,2555667.99
Suburban,2370.47,1823.29,1,3,2,Multi-Family,2004,Renovated,1,29.76,1989149.77
Rural,1114.74,750.2,2,1,1,Single-Family,2023,New,1,37.68,1011457.51
Rural,201.89,166.9,2,1,1,Multi-Family,1968,Old,1,32.53,373409.58
Urban,1981.32,1146.22,2,2,1,Apartment,1972,Old,1,3.01,1488616.46
Suburban,80.37,46.78,2,1,1,Single-Family,2013,Good,1,13.13,234660.45
Urban,3013.55,2285.19,3,4,3,Multi-Family,1982,Renovated,1,2.64,2421917.92
Urban,2117.18,1775.05,1,3,2,Multi-Family,2015,Good,1,3.65,1840875.16
Suburban,1186.63,817.44,1,1,1,Apartment,1958,Old,0,29.35,1005104.89
Suburban,2630.87,2080.44,2,4,2,Apartment,1978,Renovated,0,22.86,2151683.44
Suburban,1761.37,1584.76,2,3,1,Multi-Family,1967,Old,1,13.34,1479347.75
Rural,2950.78,2644.21,2,5,3,Single-Family,2020,New,0,44.81,2497832.88
Urban,3207.63,2558.84,2,5,2,Apartment,1978,Renovated,1,5.63,2765988.97
Urban,1798.17,1431.05,3,2,1,Multi-Family,2010,Good,0,8.14,1526710.41
Rural,2262.72,1355.48,1,2,2,Multi-Family,1954,Old,1,50.47,1698855.59
Suburban,2714.9,2262.64,2,4,2,Apartment,2018,Good,1,13.91,2384190.14
Rural,1092.96,723.58,1,1,1,Single-Family,2005,Good,0,30.07,849386.91
Rural,2714.81,2402.06,1,4,2,Single-Family,2001,Renovated,1,54.39,2256661.85
Rural,1068.98,569.31,1,1,1,Single-Family,1964,Old,1,54.71,744398.95
Urban,3065.72,2067.33,4,4,2,Apartment,1969,Old,0,3.17,2469149.98
Rural,2064.84,1491.51,1,2,2,Apartment,2022,New,0,59.07,1661213.84
Urban,1063.46,704.08,2,1,1,Apartment,1965,Old,1,6.59,949235.28
Urban,1920.03,1121.74,3,2,1,Single-Family,1974,Old,1,5.48,1534502.73
Urban,1962.33,1446.62,3,2,1,Single-Family,2006,Good,1,2.72,1750638.39
Suburban,3568.52,2863.26,1,5,3,Apartment,1970,Old,1,14.29,2816125.8
Urban,2673.3,2026.19,2,4,3,Apartment,1954,Old,1,3.32,2201910.74
Urban,1543.72,916.63,1,1,1,Apartment,1958,Old,1,2.25,1296760.12
Suburban,4149.07,3288.73,1,6,4,Single-Family,1960,Old,1,27.06,3377231.84
Urban,3126.49,1884.52,2,3,2,Multi-Family,2014,Good,0,3.15,2429838.54
Rural,2163.68,1233.47,2,2,1,Multi-Family,2012,Good,1,52.41,1543336.38
Rural,946.17,734.48,1,1,1,Single-Family,1975,Renovated,1,52.63,882043.96
Urban,2075.41,1737.36,2,3,1,Apartment,2023,New,0,1.43,1902214.41
Suburban,2279.49,1578.81,1,3,1,Apartment,1968,Old,0,15.58,1830851.6
Rural,2869.03,2044.35,1,4,2,Apartment,1965,Old,0,37.86,2179906.22
Suburban,3107.26,1929.92,2,3,2,Apartment,2005,Good,1,18.97,2359654.29
Suburban,3306.58,2307.49,1,4,2,Single-Family,2017,Good,1,27.94,2678783.34
Rural,888.53,491.17,1,1,1,Multi-Family,1979,Renovated,1,31.4,717531.98
Suburban,2708.5,2389.8,1,4,3,Multi-Family,1956,Old,1,29.34,2313275.09
Rural,2340.38,1919.45,2,3,2,Single-Family,1961,Old,1,53.7,1940466.41
Suburban,5177.98,3972.49,1,7,3,Apartment,1973,Old,1,20.21,4114105.12
Rural,2564.69,1834.47,1,3,1,Multi-Family,1971,Old,0,58.5,1892407.92
Urban,1877.35,1533.55,1,3,2,Single-Family,1996,Renovated,0,5.17,1726268.81
Rural,2610.37,1821.78,2,3,1,Apartment,1979,Renovated,0,55.49,1946839.61
Rural,2491.43,1544.66,1,3,2,Multi-Family,2009,Good,1,54.45,1936999.13
Rural,510.96,288.26,2,1,1,Single-Family,1988,Renovated,1,30.28,524902.27
Rural,2908.3,2207.5,1,4,2,Multi-Family,1969,Old,1,42.09,2283857.66
Suburban,2189.44,1908.69,1,3,1,Multi-Family,1975,Renovated,1,24.25,1821883.93
Urban,2473.31,1388.63,2,2,1,Single-Family,1998,Renovated,0,7.72,1838978.22
Rural,1626.43,930.33,2,1,1,Single-Family,2018,Good,1,43.88,1300047.95
Suburban,1406.09,946.92,2,1,1,Multi-Family,1991,Renovated,0,23.91,1178243.84
Urban,3378.88,2780.01,1,5,2,Multi-Family,1955,Old,1,5.1,2843822.05
Urban,3608.46,2228.47,1,4,2,Single-Family,2002,Renovated,1,1.65,2768004.22
Urban,2918.1,1755.43,2,3,1,Apartment,1983,Renovated,1,1.36,2251213.57
Urban,689.2,515.51,4,1,1,Apartment,2018,Good,0,4.58,765478.68
Rural,2983.06,2130.64,2,4,3,Apartment,1959,Old,0,57.54,2250634.36
Rural,704.06,368.99,1,1,1,Apartment,1977,Renovated,1,41.06,630072.58
Suburban,1838.82,979.35,1,1,1,Single-Family,1952,Old,0,15.74,1301651.14
Suburban,3365.56,2548.42,2,5,3,Apartment,1997,Renovated,1,20.88,2726216.06
Suburban,3157.6,2166.27,2,4,3,Multi-Family,2015,Good,1,24.81,2470229.0
Urban,2956.97,2626.95,1,5,2,Apartment,1984,Renovated,1,0.37,2597856.74
Urban,3812.9,2941.32,2,5,2,Single-Family,2001,Renovated,1,3.66,3052503.48
Rural,3060.02,1542.34,2,3,1,Apartment,2011,Good,1,56.92,2229238.34
Urban,480.98,333.03,4,1,1,Apartment,2001,Renovated,0,9.19,484509.05
Urban,2130.47,1418.42,1,2,2,Single-Family,1996,Renovated,1,4.75,1831048.86
Urban,2458.39,1334.13,3,2,2,Apartment,2003,Renovated,0,3.16,1867163.91
Suburban,2341.26,2035.22,2,4,3,Single-Family,1977,Renovated,1,26.51,2074088.72
Suburban,1882.86,1547.72,2,3,1,Apartment,1972,Old,0,19.61,1594161.83
Rural,1469.84,870.2,1,1,1,Single-Family,1984,Renovated,1,59.59,1105165.4
Urban,4900.74,2952.17,4,5,2,Apartment,1981,Renovated,0,5.42,3597717.55
Urban,2111.26,1082.67,4,2,2,Multi-Family,1951,Old,0,4.31,1660743.16
Rural,4851.6,3001.62,2,6,3,Multi-Family,1965,Old,1,31.66,3538524.45
Urban,1358.71,997.09,4,1,1,Single-Family,1965,Old,1,9.69,1199998.35
Urban,3157.06,2109.98,2,4,3,Single-Family,2000,Renovated,0,0.38,2481377.86
Suburban,2729.64,2423.11,1,4,2,Single-Family,2016,Good,1,27.05,2341566.51
Rural,1578.05,824.42,2,1,1,Multi-Family,2003,Renovated,1,58.23,1255053.15
Rural,2032.44,1497.04,1,2,2,Single-Family,1969,Old,0,48.31,1646398.21
Rural,2484.87,2095.55,2,4,2,Apartment,1982,Renovated,1,33.72,2149060.26
Rural,1655.88,1146.36,2,2,1,Single-Family,1957,Old,1,35.01,1386872.81
Suburban,2243.86,1124.59,1,2,2,Single-Family,1973,Old,0,26.32,1590982.94
Suburban,135.1,80.67,1,1,1,Apartment,2002,Renovated,1,17.1,301731.4
Urban,3211.52,2021.68,4,4,2,Apartment,2013,Good,1,6.32,2504231.55
Urban,3727.15,3303.74,4,6,4,Multi-Family,2007,Good,0,8.13,3235379.05
Urban,2954.36,2554.66,1,5,2,Apartment,1986,Renovated,1,1.45,2554950.51
Urban,4764.26,4190.97,1,8,5,Apartment,1961,Old,1,3.01,3986698.98
Suburban,3182.1,2642.11,2,5,3,Single-Family,1953,Old,1,28.07,2610021.63
Rural,3642.81,2333.8,2,4,3,Multi-Family,1980,Renovated,1,47.7,2685863.27
Suburban,3738.36,3223.78,2,6,4,Apartment,1987,Renovated,0,20.9,3136213.71
Urban,251.01,224.07,4,1,1,Multi-Family,1986,Renovated,1,2.56,483110.98
Suburban,2923.67,1871.23,2,3,1,Apartment,1963,Old,1,12.0,2191937.7
Rural,1117.07,674.96,2,1,1,Multi-Family,2022,New,1,36.11,988436.75
Rural,1319.1,948.12,2,1,1,Apartment,1973,Old,0,56.18,1037365.83
Suburban,1493.03,858.28,2,1,1,Single-Family,1959,Old,1,29.96,1131159.0
Suburban,2187.28,1122.18,2,2,2,Multi-Family,1987,Renovated,1,23.91,1606141.7
Suburban,3150.46,2767.15,1,5,3,Multi-Family,1992,Renovated,1,28.99,2629908.34
Urban,2933.99,2553.44,4,5,2,Apartment,1986,Renovated,1,4.74,2596531.57
Suburban,2487.42,1405.55,2,2,1,Multi-Family,1991,Renovated,1,13.52,1957658.03
Suburban,3222.68,2136.95,2,4,3,Apartment,1981,Renovated,0,17.53,2345357.74
Suburban,3283.49,2733.22,2,5,3,Multi-Family,1963,Old,1,15.3,2654383.27
Rural,2942.62,2249.34,2,4,3,Multi-Family,1953,Old,1,54.26,2383862.97
Rural,775.5,510.21,2,1,1,Single-Family,1973,Old,1,50.5,641224.22
Urban,1760.67,1404.43,4,2,1,Single-Family,1959,Old,1,4.23,1602155.35
Urban,2526.33,2169.66,3,4,2,Multi-Family,1965,Old,1,6.21,2200007.12
Rural,3233.45,2814.6,2,5,2,Single-Family,1988,Renovated,1,41.81,2675845.82
Rural,1171.42,763.23,2,1,1,Multi-Family,1967,Old,1,35.42,991876.75
Rural,2488.65,1417.1,1,2,2,Apartment,1974,Old,1,45.27,1810472.56
Suburban,934.38,808.37,1,1,1,Multi-Family,1956,Old,0,14.43,815313.22
Suburban,3525.92,1893.5,1,3,1,Multi-Family,2005,Good,1,28.22,2595608.11
Rural,2742.35,2162.82,1,4,2,Single-Family,1996,Renovated,1,56.28,2181676.66
Suburban,1153.86,641.78,2,1,1,Single-Family,1952,Old,1,27.24,1059721.31
Suburban,1147.27,752.33,1,1,1,Apartment,1950,Old,1,17.72,972703.98
Urban,2887.43,1919.05,3,3,2,Apartment,1982,Renovated,1,6.63,2342530.83
Rural,3874.8,2183.46,1,4,2,Apartment,2020,New,1,47.1,2860112.83
Rural,1403.21,1219.49,2,2,1,Multi-Family,2023,New,0,30.65,1287600.8
Suburban,3286.6,1646.81,2,3,1,Apartment,2008,Good,1,14.25,2439034.83
Rural,1957.76,1678.83,2,3,1,Apartment,2021,New,0,55.37,1698623.89
Urban,3323.19,2836.45,3,5,2,Single-Family,1981,Renovated,1,2.7,2826420.46
Urban,3183.19,1995.18,1,3,1,Single-Family,1966,Old,1,2.15,2488818.16
Urban,2655.3,2075.68,4,4,3,Apartment,1966,Old,0,3.56,2119424.67
Rural,665.61,400.11,1,1,1,Apartment,1970,Old,1,32.25,609200.18
Rural,3181.19,2556.12,1,5,2,Multi-Family,2004,Renovated,1,57.67,2583567.4
Rural,3002.02,2174.81,1,4,3,Multi-Family,1955,Old,1,30.83,2380173.74
Rural,2910.43,1804.73,2,3,2,Single-Family,1998,Renovated,1,46.88,2217640.5
Rural,2695.67,1779.4,2,3,2,Apartment,1975,Renovated,0,46.65,2068453.48
Urban,1621.21,1257.99,4,2,2,Apartment,1981,Renovated,1,1.05,1460681.55
Suburban,3582.96,3090.08,2,6,4,Apartment,2021,New,0,12.4,3010104.1
Urban,3398.14,1876.76,3,3,2,Apartment,1993,Renovated,1,4.03,2595147.74
Rural,1424.58,1037.87,1,2,1,Apartment,2008,Good,1,33.41,1108913.14
Urban,3814.3,2294.27,1,4,2,Multi-Family,1978,Renovated,1,9.39,2827900.1
Rural,2631.67,2159.41,1,4,2,Multi-Family,1966,Old,1,36.46,2101242.82
Rural,2629.14,1388.44,1,2,1,Apartment,1967,Old,1,48.4,1836592.27
Urban,2323.64,1802.17,3,3,2,Multi-Family,1989,Renovated,1,8.2,2013381.97
Rural,2422.01,1380.49,2,2,2,Multi-Family,2012,Good,0,32.56,1883885.92
Suburban,3870.9,2858.87,1,5,2,Apartment,1994,Renovated,0,11.97,2999837.01
Rural,3533.07,2947.56,1,5,3,Multi-Family,1952,Old,1,32.3,2868081.5
Suburban,3511.85,2816.62,2,5,3,Apartment,1952,Old,1,18.95,2770448.29
Suburban,2684.56,2150.81,2,4,2,Multi-Family,1987,Renovated,0,24.14,2178515.88
Rural,3389.17,2396.61,1,4,2,Apartment,2022,New,1,42.23,2673027.38
Urban,1665.69,1426.33,3,2,1,Apartment,1989,Renovated,1,1.47,1516270.41
Suburban,3083.44,2267.07,2,4,2,Multi-Family,2017,Good,1,22.96,2455380.62
Urban,2346.51,2034.44,1,4,2,Multi-Family,2003,Renovated,1,1.12,1989629.01
Suburban,440.2,316.33,1,1,1,Single-Family,1969,Old,0,17.58,423604.82
Rural,913.9,641.91,2,1,1,Apartment,1964,Old,1,41.3,825780.83
Rural,1837.02,1081.9,2,2,1,Apartment,1954,Old,1,46.17,1348607.56
Suburban,2915.15,2092.83,1,4,3,Apartment,1988,Renovated,1,13.39,2358349.79
Rural,1837.92,1022.31,2,2,1,Apartment,1989,Renovated,1,50.24,1338415.08
Suburban,1908.88,1618.49,2,3,2,Multi-Family,1956,Old,0,20.25,1605152.32
Rural,3263.26,2513.87,2,5,2,Multi-Family,2021,New,1,37.42,2682039.83
Urban,1944.99,1745.54,2,3,2,Single-Family,1982,Renovated,0,0.78,1738675.67
Rural,3830.81,2056.53,2,4,2,Apartment,1986,Renovated,1,42.18,2684791.09
Urban,3665.12,2185.4,1,4,2,Single-Family,1981,Renovated,1,2.89,2857967.6
Rural,2521.88,2145.78,1,4,2,Single-Family,1992,Renovated,1,51.57,2087446.44
Urban,3253.46,2141.11,4,4,2,Single-Family,2012,Good,1,0.89,2578624.75
Rural,3117.24,2140.05,2,4,2,Single-Family,1985,Renovated,1,39.07,2400050.68
Urban,2254.33,1903.24,4,3,2,Single-Family,1998,Renovated,1,0.03,2051301.05
Suburban,3361.63,2382.49,1,4,2,Multi-Family,1974,Old,0,10.7,2596804.18
Suburban,3508.9,2026.0,2,4,2,Multi-Family,2015,Good,1,12.38,2596435.28
Urban,1547.56,1325.97,4,2,1,Single-Family,1958,Old,1,4.27,1425572.87
Rural,2653.55,1359.74,2,2,2,Multi-Family,1967,Old,1,51.34,1795736.15
Urban,2642.5,2267.68,4,4,3,Multi-Family,1971,Old,1,6.54,2252590.61
Rural,3349.62,1742.5,1,3,2,Single-Family,1964,Old,1,38.48,2370089.62
Suburban,2056.14,1575.7,2,3,2,Multi-Family,1956,Old,1,21.8,1716381.74
Rural,1902.24,1005.66,2,2,2,Multi-Family,1962,Old,0,50.87,1377219.27
Suburban,2669.0,2088.45,2,4,3,Apartment,1985,Renovated,1,18.63,2248240.36
Rural,3681.36,1890.7,2,3,1,Single-Family,1965,Old,0,33.47,2557365.36
Rural,1300.62,1088.6,2,2,1,Apartment,1990,Renovated,1,53.47,1130685.49
Rural,1475.19,1012.54,1,2,1,Apartment,1970,Old,1,37.83,1223079.45
Urban,1979.5,1063.75,2,2,2,Single-Family,1977,Renovated,1,7.84,1617944.22
Urban,2157.42,1688.67,1,3,1,Apartment,2023,New,1,7.06,1927548.63
Suburban,734.42,510.95,2,1,1,Apartment,1966,Old,1,13.82,661852.74
Suburban,3998.2,2304.48,1,4,3,Multi-Family,2014,Good,1,14.95,2937164.26
Urban,2369.69,1199.7,3,2,1,Apartment,1962,Old,1,9.79,1763609.38
Suburban,2219.9,1481.12,2,2,1,Single-Family,1985,Renovated,0,19.43,1829677.02
Urban,4122.64,2202.53,4,4,2,Multi-Family,2007,Good,1,8.31,3111408.41
Rural,3217.79,1730.1,1,3,2,Multi-Family,1969,Old,1,53.79,2231786.17
Suburban,1964.58,1192.37,2,2,2,Multi-Family,2001,Renovated,1,19.05,1569465.91
Suburban,2664.61,2004.28,1,4,2,Single-Family,1955,Old,1,12.61,2122372.99
Urban,2458.26,1750.19,2,3,1,Single-Family,1972,Old,1,9.45,1970953.75
Suburban,3948.35,2083.13,2,4,3,Single-Family,1991,Renovated,1,21.79,2913689.11
Suburban,2332.58,2069.87,1,4,3,Apartment,1973,Old,0,17.25,1920206.66
Rural,1057.94,904.4,1,1,1,Apartment,1954,Old,1,49.54,939110.92
Suburban,622.78,375.97,2,1,1,Multi-Family,1981,Renovated,1,15.39,628362.64
Rural,3975.16,2182.11,2,4,2,Multi-Family,1995,Renovated,0,35.5,2849311.72
Urban,1711.39,1500.82,1,3,2,Single-Family,1966,Old,0,0.46,1555357.41
Suburban,3170.21,2169.87,1,4,2,Single-Family,1976,Renovated,1,11.67,2565046.54
Rural,2571.76,1605.98,2,3,2,Apartment,2017,Good,1,41.83,1963665.13
Urban,2083.35,1450.31,4,2,1,Apartment,1972,Old,1,9.62,1769635.03
Suburban,2240.15,1812.5,2,3,2,Single-Family,1983,Renovated,0,16.11,1881694.22
Urban,4083.38,2316.72,2,4,3,Single-Family,1970,Old,1,1.21,3039801.37
Suburban,1051.94,848.91,2,1,1,Apartment,1971,Old,1,26.75,1018059.03
Urban,2113.54,1690.36,2,3,1,Multi-Family,2014,Good,1,0.55,1867615.64
Urban,3406.57,2438.22,1,4,2,Multi-Family,1981,Renovated,1,3.31,2751748.91
Rural,1216.85,1029.87,2,2,1,Apartment,2011,Good,1,58.37,1043382.75
Urban,3817.28,2110.41,3,4,2,Apartment,1977,Renovated,1,1.68,2852822.17
Suburban,3392.25,2504.13,1,5,3,Multi-Family,1956,Old,1,12.61,2567038.99
Suburban,2771.8,1884.1,2,3,2,Apartment,2003,Renovated,1,12.12,2173286.61
Rural,1996.84,1335.72,2,2,2,Multi-Family,2019,Good,1,59.35,1591065.22
Suburban,1088.43,654.17,2,1,1,Multi-Family,1963,Old,1,15.55,915389.84
Suburban,3207.05,2081.09,2,4,3,Apartment,2004,Renovated,1,13.33,2485316.94
Suburban,5248.64,2851.38,1,5,3,Single-Family,2007,Good,0,20.23,3763057.49
Urban,2645.89,1589.23,3,3,2,Single-Family,1993,Renovated,1,8.6,2173797.35
Urban,673.95,410.29,4,1,1,Single-Family,1995,Renovated,1,9.94,700097.0
Suburban,2957.52,2331.32,2,4,2,Single-Family,1963,Old,1,15.02,2448910.92
Rural,3360.26,1745.39,1,3,2,Single-Family,1993,Renovated,1,30.5,2387536.19
Urban,1582.15,1203.19,3,2,1,Single-Family,1990,Renovated,0,0.97,1417774.92
Rural,1854.49,1091.49,1,2,1,Single-Family,2022,New,1,53.06,1538631.32
Suburban,1752.62,933.7,2,1,1,Apartment,1951,Old,1,24.85,1380521.05
Suburban,1968.64,1221.19,1,2,2,Apartment,1954,Old,0,10.03,1588504.37
Urban,2327.84,1372.93,3,2,1,Single-Family,1961,Old,1,3.92,1803609.64
Suburban,1639.1,1181.48,2,2,1,Apartment,1996,Renovated,0,26.04,1346555.17
Urban,1264.16,812.79,1,1,1,Multi-Family,1984,Renovated,1,1.2,1086409.7
Suburban,2674.38,2370.56,2,4,3,Single-Family,1968,Old,0,16.87,2224564.04
Suburban,2317.34,2051.82,1,4,3,Multi-Family,2012,Good,1,29.17,2059758.29
Urban,2063.76,1398.17,2,2,2,Apartment,1957,Old,1,2.54,1680329.72
Urban,2583.19,2113.14,1,4,3,Single-Family,1972,Old,1,6.96,2233707.99
Urban,979.82,495.11,2,1,1,Multi-Family,1962,Old,0,2.03,819665.47
Suburban,2763.2,1987.09,2,3,2,Apartment,1972,Old,1,21.24,2199419.56
Suburban,2084.31,1661.86,1,3,1,Single-Family,1980,Renovated,1,22.87,1797838.37
Rural,2739.49,1607.47,2,3,1,Single-Family,1979,Renovated,1,44.5,2044386.5
Urban,2899.65,1520.78,1,3,2,Multi-Family,1991,Renovated,1,3.09,2225432.31
Suburban,3631.15,2042.04,1,4,2,Multi-Family,1951,Old,0,18.54,2685199.62
Suburban,2602.95,1761.52,1,3,1,Multi-Family,1960,Old,1,13.21,1940541.65
Urban,3566.72,2505.79,4,5,3,Apartment,1974,Old,1,3.0,2842095.48
Rural,2178.09,1420.89,1,2,2,Multi-Family,1978,Renovated,0,54.79,1681806.59
Urban,2225.82,1504.63,2,3,2,Multi-Family,1971,Old,1,5.68,1733900.31
Rural,2409.07,1657.67,2,3,1,Multi-Family,1968,Old,1,45.47,1925509.8
Suburban,3274.12,2644.75,2,5,3,Single-Family,2022,New,0,10.41,2695238.52
Rural,3130.96,1697.28,2,3,2,Multi-Family,1990,Renovated,0,36.7,2187481.32
Suburban,2635.07,2128.03,1,4,2,Multi-Family,1987,Renovated,1,24.0,2242323.8
Urban,1272.26,986.58,1,1,1,Apartment,1978,Renovated,1,0.56,1158132.78
Urban,3113.06,2480.06,1,4,2,Apartment,2023,New,1,4.07,2711004.16
Urban,1638.6,1300.7,2,2,1,Multi-Family,1971,Old,1,2.37,1459346.32
Rural,1584.1,1090.24,1,2,2,Apartment,1957,Old,1,37.34,1336363.52
Suburban,1361.51,795.88,1,1,1,Apartment,1996,Renovated,1,14.11,1189057.52
Urban,2416.83,1727.19,2,3,2,Apartment,1955,Old,1,4.86,2005246.86
Urban,3711.72,3278.16,3,6,3,Single-Family,1956,Old,1,3.34,3123610.55
Suburban,1534.64,1128.59,1,2,2,Multi-Family,1985,Renovated,1,12.64,1426491.86
Urban,4178.58,2107.75,4,4,2,Multi-Family,1957,Old,1,0.27,2930667.42
Suburban,3409.81,1786.35,2,3,2,Multi-Family,1995,Renovated,1,16.9,2465406.2
Suburban,1035.4,928.9,2,1,1,Apartment,2013,Good,1,19.8,1059848.46
Suburban,2117.22,1119.54,2,2,2,Apartment,1980,Renovated,0,12.86,1519731.8
Suburban,1459.75,756.76,2,1,1,Apartment,1972,Old,0,12.37,1044655.19
Suburban,3164.96,2029.4,2,4,2,Single-Family,2010,Good,1,27.31,2443534.1
Rural,1511.84,1342.1,1,2,2,Apartment,1999,Renovated,1,32.63,1346100.02
Urban,878.88,551.47,3,1,1,Single-Family,1995,Renovated,1,4.13,773461.05
Rural,2174.27,1443.61,1,2,2,Multi-Family,1992,Renovated,1,42.37,1745657.66
Urban,3669.39,2765.37,1,5,3,Apartment,1959,Old,0,9.7,2926859.98
Rural,2307.48,1176.0,1,2,1,Single-Family,1969,Old,0,30.31,1641762.41
Suburban,2898.44,2490.07,2,4,2,Single-Family,1965,Old,1,18.33,2384746.59
Urban,2937.23,2078.9,3,4,3,Apartment,1952,Old,0,2.58,2336843.46
Urban,987.72,678.29,1,1,1,Single-Family,1979,Renovated,1,3.79,975581.1
Rural,1600.63,1351.4,2,2,2,Apartment,1967,Old,1,58.91,1349141.48
Rural,2506.46,2208.77,2,4,2,Single-Family,2008,Good,1,41.7,2153704.94
Urban,1942.65,1300.35,4,2,2,Multi-Family,2019,Good,1,2.09,1701545.41
Rural,4204.45,2392.23,1,4,2,Multi-Family,1984,Renovated,0,54.06,2909932.53
Rural,1271.68,1050.77,2,2,1,Multi-Family,1968,Old,0,59.49,1045824.44
Rural,1590.74,1051.96,1,2,1,Apartment,1975,Renovated,1,41.15,1257082.7
Suburban,2790.54,2439.54,2,4,2,Multi-Family,1984,Renovated,1,16.08,2398889.67
Suburban,1872.11,1647.38,1,3,1,Multi-Family,2021,New,1,24.4,1672083.41
Rural,391.83,213.91,2,1,1,Multi-Family,2006,Good,0,47.75,383836.56
Rural,4434.68,3914.14,2,7,3,Apartment,1998,Renovated,1,58.78,3714578.66
Suburban,1425.69,922.86,1,1,1,Single-Family,1959,Old,0,22.92,1074212.32
Suburban,3060.89,2321.69,2,4,3,Apartment,1978,Renovated,0,13.13,2437905.86
Urban,1246.61,640.63,1,1,1,Apartment,2020,New,1,7.61,994793.86
Urban,1636.97,1400.52,4,2,2,Multi-Family,2017,Good,1,2.58,1515446.1
Suburban,877.07,663.63,1,1,1,Single-Family,1973,Old,1,17.65,763476.99
Rural,1758.81,1332.16,2,2,2,Multi-Family,1992,Renovated,0,42.29,1510275.69
Rural,1855.72,1597.53,1,3,2,Multi-Family,1988,Renovated,1,37.64,1571963.51
Rural,2367.43,1665.11,1,3,2,Apartment,1974,Old,1,58.93,1808558.23
Rural,2127.43,1413.05,2,2,2,Apartment,2017,Good,1,42.1,1703970.31
Urban,1058.48,895.95,3,1,1,Apartment,1983,Renovated,1,0.57,1009162.22
Suburban,1976.1,1574.89,2,3,2,Multi-Family,2002,Renovated,1,12.12,1742895.33
Rural,3947.01,3471.75,1,6,3,Single-Family,2004,Renovated,0,54.62,3234465.62
Urban,3828.39,3353.86,4,6,4,Single-Family,2002,Renovated,0,3.04,3322248.88
